ticker,date,price
KYMR,2025-06-16,46.84
LEGN,2026-03-13,18.75
LGND,2025-02-14,120.0
LGND,2025-07-21,141.12
LOW,2023-04-14,189.7386
LOW,2023-09-13,216.8323
LRCX,2025-05-15,84.1139
LRCX,2025-10-22,140.7498
LRCX,2026-01-20,221.9874
LTH,2025-06-16,27.17
LTH,2025-09-17,27.81
LULU,2023-07-14,380.41
LULU,2023-11-28,427.73
LULU,2024-04-16,338.98
LULU,2025-03-14,311.03
LYFT,2025-12-11,20.52
MA,2025-01-15,517.592
MCD,2026-06-16,287.93
MCRB,2023-05-24,4.8700
MDB,2026-04-14,233.6
MGRC,2024-12-16,115.0673
MGRC,2025-06-16,110.5409
MLTX,2025-10-22,9.6
MNDY,2025-10-22,190.68
MOD,2024-07-19,107.17
MOD,2025-04-21,69.3
MOD,2026-05-18,247.13
MPWR,2025-05-15,703.89
MRTX,2023-10-23,55.6
MRVL,2024-02-13,67.6655
MRVL,2026-05-18,168.93
MSCI,2023-09-13,517.1056
MSFT,2023-08-23,320.1186
MSFT,2025-09-17,506.8105
MSFT,2025-12-11,481.3267
MSFT,2026-02-13,399.5409
NBIX,2026-06-16,156.42
NDSN,2026-02-13,296.4362
NFLX,2023-05-24,364.8500
NFLX,2026-01-20,87.26
NKE,2024-01-16,96.204
NOW,2023-11-28,665.2500
NOW,2026-03-13,113.62
NPO,2023-02-21,105.2901
NRIX,2024-12-16,20.81
NVDA,2025-12-11,180.7096
NXPI,2024-03-18,226.4319
OBDC,2024-01-16,11.2284
OBDC,2024-06-21,12.1246
OCSL,2024-02-13,14.5516
OKTA,2025-01-15,84.2
OLED,2024-02-13,172.1349
OLED,2024-12-16,154.9935
OLED,2025-11-17,111.318
ONTO,2025-03-14,138.69
ONTO,2025-06-16,98.87
ONTO,2025-11-17,127.3
ORCL,2026-06-16,188.33
OUST,2025-11-17,20.92
OWL,2024-10-18,21.6748
OWL,2026-03-13,8.5488
PANW,2023-08-23,117.83
PERI,2024-02-13,22.38
PHVS,2026-06-16,31.46
PINS,2024-11-15,28.24
PLRX,2023-05-24,21.6
PLYA,2024-05-14,8.41
PNR,2024-03-18,78.7459
PRSU,2026-06-16,48.87
PRTA,2023-08-23,56.64
PTC,2024-03-18,183.66
PVLA,2026-03-13,122.06
Q,2026-02-13,111.5623
QSR,2023-10-23,59.716
RAL,2025-10-22,42.2959
RBLX,2025-05-15,80.77
RBLX,2026-02-13,63.17
RDDT,2025-07-21,146.29
RDDT,2025-12-11,233.54
RDDT,2026-03-13,132.36
RDDT,2026-06-16,175.39
REZI,2025-11-17,30.12
RKT,2026-03-13,14.14
RLJ,2023-03-13,8.6061
RNG,2025-11-17,26.6914
ROKU,2023-02-21,65.63
RRX,2025-01-15,155.1922
RSG,2023-11-28,154.9879
RVMD,2023-11-28,22.07
RXST,2023-12-15,39.71
RXST,2024-07-19,46.77
S,2025-06-16,17.59
SG,2024-09-23,35.83
SHAK,2025-04-21,82.5
SHOP,2023-02-21,41.42
SHOP,2023-10-23,51.0
SHOP,2025-03-14,94.85
SIGI,2023-12-15,95.8147
SIGI,2025-07-21,86.8163
SLNO,2024-11-15,51.8
SN,2025-06-16,87.13
SNOW,2024-01-16,188.02
SPB,2023-10-23,70.558
SPNT,2026-06-16,23.28
SPRB,2026-06-16,47.1
SPXC,2026-01-20,217.9
STEP,2024-11-15,61.6475
STEP,2025-05-15,56.1545
SVRA,2024-07-19,4.47
T,2024-10-18,20.4592
TARA,2025-05-15,3.11
TEAM,2023-10-23,185.96
TEAM,2024-12-16,278.09
TEAM,2025-03-14,218.44
TEAM,2025-10-22,167.89
TEL,2026-05-18,199.7378
TH,2023-05-24,15.09
TKR,2025-04-21,58.9845
TLN,2024-08-15,135.64
TMDX,2023-07-14,91.51
TMDX,2024-05-14,132.44
TMDX,2025-01-15,60.44
TNDM,2024-01-16,25.51
TPB,2025-12-11,104.375
TPB,2026-04-14,81.428
TRMB,2024-06-21,56.14
TRMB,2024-12-16,74.24
TRMB,2025-05-15,71.24
TRMB,2026-02-13,66.4
TTD,2025-04-21,47.56
TWLO,2026-06-16,192.68
TYRA,2024-09-23,23.64
TYRA,2026-04-14,35.27
UBER,2023-03-13,30.82
UBER,2023-08-23,45.14
UBER,2024-10-18,79.16
UBER,2025-03-14,71.55
ULTA,2023-07-14,472.65
ULTA,2024-04-16,424.17
ULTA,2025-02-14,365.14
ULTA,2025-10-22,519.33
ULTA,2026-03-13,535.72
UNH,2023-07-14,451.939
UNH,2024-02-13,490.022
URGN,2023-07-14,9.19
URGN,2023-09-13,15.66
URGN,2024-08-15,15.49
UTHR,2025-12-11,488.51
V,2023-07-14,237.6721
V,2023-11-28,248.2235
V,2024-01-16,260.2941
V,2026-01-20,324.4767
VKTX,2024-12-16,47.23
VRDN,2023-08-23,19.0
VTYX,2023-11-28,2.3
VTYX,2026-01-20,13.88
VXRT,2025-08-12,0.38
VZ,2023-12-15,31.7441
WCN,2023-10-23,132.7995
WDAY,2023-08-23,230.22
WIX,2023-04-14,89.98
